blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Longitude,Latitude
586A,PASIR RIS ST 53,5,1994,N,N,N,N,Y,N,PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,586A PASIR RIS ST 53,103.947756649174,1.37473187513749
586A,WOODLANDS DR 16,5,1999,N,N,N,N,Y,N,WL,0,0,0,0,0,0,0,0,0,0,0,0,0,586A WOODLANDS DR 16,103.794671399075,1.4291893137809
587,ANG MO KIO AVE 3,12,1978,Y,N,N,N,N,N,AMK,154,0,0,132,22,0,0,0,0,0,0,0,0,587 ANG MO KIO AVE 3,103.852429487897,1.37018880409798
587,WOODLANDS DR 16,12,1999,Y,N,N,N,N,N,WL,134,0,0,0,0,90,44,0,0,0,0,0,0,587 WOODLANDS DR 16,103.795288852487,1.42844657911529
588,ANG MO KIO ST 52,3,2011,N,N,N,N,Y,N,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0,588 ANG MO KIO ST 52,103.85349822052,1.3721451555032
588,MONTREAL DR,3,2000,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,588 MONTREAL DR,103.824598070405,1.45016263443854
588,WOODLANDS DR 16,12,1999,Y,N,N,N,N,N,WL,90,0,0,0,90,0,0,0,0,0,0,0,0,588 WOODLANDS DR 16,103.794643990954,1.42766679871283
588A,ANG MO KIO ST 52,30,2011,Y,N,N,N,N,N,AMK,145,0,0,0,30,115,0,0,0,0,0,0,0,588A ANG MO KIO ST 52,103.852786139342,1.37207688864036
588A,MONTREAL DR,14,2000,Y,N,N,N,N,N,SB,105,0,0,0,0,105,0,0,0,0,0,0,0,588A MONTREAL DR,103.825726692093,1.45035683378178
588A,WOODLANDS DR 16,5,1999,N,N,N,N,Y,N,WL,0,0,0,0,0,0,0,0,0,0,0,0,0,588A WOODLANDS DR 16,103.79467685732,1.42822735306803
